#   line (B)  time (µs)
        1024       911.3
        2048       911.3
        4096       911.3
        8192       911.3
       16384       911.3
       32768       913.2
       65536      1933.0
      131072      1985.1
      262144      2126.7
      524288      2589.5
     1048576      2690.6
     2097152      2691.3
     4194304      2716.4
     8388608      4225.6
    16777216      6509.2
    33554432      7045.2
    67108864      7060.7
