#   line (B)  time (µs)
           1      7656.7
           2      4106.3
           4      3202.8
           8      3190.0
          16      3211.7
          32      3191.1
          64      3200.3
         128      2109.0
         256      1028.9
         512       404.2
        1024       205.0
