O0 popcount
  1166284 	  1259383 	   407593 	   311235 	    13084 	    43863 	    31224 	
  1167516 	  1265737 	   404187 	   312537 	    13116 	    45321 	    26739 	
  1201011 	  1259812 	   403117 	   314558 	    13074 	    42942 	    26717 	
  1168144 	  1260095 	   406188 	   312730 	    12996 	    42904 	    26660 	
  1160555 	  1257052 	   398969 	   312417 	    12970 	    43000 	    26656 	
  1168482 	  1255685 	   398068 	   315014 	    13033 	    42884 	    26610 	
  1161180 	  1252790 	   401717 	   313619 	    13015 	    42867 	    26592 	
  1163912 	  1259917 	   399063 	   315611 	    13039 	    42904 	    26607 	
  1160056 	  1253794 	   401065 	   313051 	    13166 	    42920 	    26687 	
  1166152 	  1260887 	   398575 	   312096 	    13291 	    42883 	    26640 	
  1166432 	  1264934 	   398789 	   313259 	    13106 	    42933 	    26628 	
O1 popcount
   239321 	   356981 	   323988 	    91273 	     6655 	     7825 	    15223 	
   227875 	   352271 	   320138 	    86630 	     6645 	     7488 	    15107 	
   238910 	   359768 	   324224 	    86816 	     6618 	     7635 	    15125 	
   242140 	   353620 	   321421 	    89295 	     7134 	     7791 	    15294 	
   234315 	   352449 	   322066 	    86063 	     7124 	     7630 	    15091 	
   227405 	   352420 	   322972 	    87122 	     6997 	     7645 	    15585 	
   224309 	   349733 	   317717 	    85988 	     7128 	     7953 	    15393 	
   236087 	   350757 	   323043 	    90558 	     7868 	     8464 	    15238 	
   238393 	   364118 	   322545 	    85872 	     6653 	     7983 	    15164 	
   232326 	   354529 	   321271 	    86769 	     6683 	     7751 	    15099 	
   232001 	   353814 	   319699 	    86988 	     6625 	     7809 	    15118 	
O2 popcount
   238580 	   291029 	   361600 	    90011 	     7161 	     8227 	    15257 	
   236730 	   286970 	   360910 	    87950 	     7066 	     7488 	    15083 	
   232746 	   287653 	   361716 	    92774 	     6911 	     7503 	    15302 	
   241885 	   283314 	   352113 	    87186 	     7147 	     7528 	    15143 	
   226517 	   288522 	   352647 	    88736 	     6756 	     8023 	    15200 	
   245010 	   286095 	   357598 	    87708 	     7253 	     7981 	    15393 	
   222504 	   284999 	   357406 	    88090 	     6640 	     7842 	    15276 	
   232525 	   280825 	   354107 	    87764 	     6610 	     7493 	    15275 	
   213245 	   282059 	   357718 	    89036 	    11348 	     9462 	    15304 	
   228934 	   279634 	   352093 	    86890 	     6849 	     7500 	    15189 	
   229925 	   275440 	   353848 	    88549 	     6818 	     8108 	    15260 	
O3 popcount
   225743 	   278228 	   355843 	    56284 	     7224 	     7830 	    15168 	
   228016 	   275516 	   352806 	    50007 	     6885 	     7714 	    15336 	
   231048 	   276377 	   355771 	    50280 	     7251 	     8455 	    15350 	
   243630 	   277560 	   357647 	    50551 	     7398 	     8601 	    15266 	
   224584 	   306173 	   359013 	    50540 	     7291 	     8230 	    15365 	
   224723 	   277145 	   358300 	    52831 	     7525 	     9545 	    15344 	
   227107 	   278067 	   367507 	    50563 	     7672 	     8527 	    15446 	
   231651 	   277801 	   357803 	    50145 	     7402 	     8356 	    15438 	
   229998 	   277428 	   357078 	    50060 	     6682 	     8259 	    15226 	
   257199 	   279424 	   355135 	    50557 	     7751 	     7817 	    15378 	
   237865 	   290581 	   451850 	    91134 	    24546 	    21731 	    29907 	
